,id,tabuleiro,size,numero_regioes,tamanho_medio_regiao,dicas,tempo,backtracks,resolvido,assign_from_singletons,hidden_single,naked_pairs,hidden_pairs,naked_triples,hidden_triples
6x6_Suguru-1530,Suguru-1530,6x6,36,9,4.0,7,0.002426577000733232,0,True,23,6,0,6,1,0
6x6_Suguru-13,Suguru-13,6x6,36,8,4.5,7,0.0027262880030320957,0,True,19,10,0,5,1,0
6x6_Suguru-17,Suguru-17,6x6,36,9,4.0,7,0.002421253997454187,0,True,23,6,2,7,1,0
6x6_Suguru-21,Suguru-21,6x6,36,8,4.5,7,0.0024202660024457145,0,True,23,6,0,4,3,5
6x6_Suguru-169,Suguru-169,6x6,36,8,4.5,6,0.0024494749995938037,0,True,23,7,0,6,0,0
6x6_Suguru-202,Suguru-202,6x6,36,8,4.5,6,0.0025644369998190086,0,True,24,6,0,6,2,0
6x6_Suguru-410,Suguru-410,6x6,36,9,4.0,8,0.0023804630000086036,0,True,17,11,0,5,0,0
6x6_Suguru-433,Suguru-433,6x6,36,8,4.5,8,0.0018416980019537732,0,True,22,6,2,3,1,0
6x6_Suguru-439,Suguru-439,6x6,36,8,4.5,8,0.0023625129979336634,0,True,20,8,0,4,1,0
6x6_Suguru-578,Suguru-578,6x6,36,8,4.5,5,0.0026492500001040753,0,True,21,10,2,8,1,0
6x6_Suguru-601,Suguru-601,6x6,36,9,4.0,6,0.0022128829987195786,0,True,24,6,4,5,0,0
6x6_Suguru-619,Suguru-619,6x6,36,8,4.5,9,0.006527198998810491,0,True,31,7,1,3,0,0
6x6_Suguru-937,Suguru-937,6x6,36,8,4.5,5,0.003176639998855535,0,True,25,6,7,4,0,0
6x6_Suguru-938,Suguru-938,6x6,36,8,4.5,7,0.0023499389972130302,0,True,23,6,6,7,2,0
6x6_Suguru-990,Suguru-990,6x6,36,8,4.5,6,0.0022691710000799503,0,True,23,7,0,7,1,3
6x6_Suguru-994,Suguru-994,6x6,36,8,4.5,8,0.004289955999411177,0,True,22,6,4,4,0,0
6x6_Suguru-1058,Suguru-1058,6x6,36,8,4.5,6,0.0025138029996014666,0,True,24,6,0,8,1,0
6x6_Suguru-1282,Suguru-1282,6x6,36,8,4.5,10,0.002497886998753529,0,True,23,3,4,6,2,0
